         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:126(is_cpython)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:128(DeprecatedTuple)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        8    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:129(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:13(IntCastingNaNError)
       91    0.000    0.000    0.001    0.000 __init__.py:1315(safe_name)
      116    0.000    0.000    0.004    0.000 __init__.py:1323(safe_version)
        4    0.000    0.000    0.000    0.000 __init__.py:133(_declare_state)
        8    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:1381(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        9    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       93    0.000    0.000    0.002    0.000 __init__.py:1404(_get_metadata_path)
       68    0.000    0.000    0.004    0.000 __init__.py:1407(has_metadata)
       25    0.000    0.000    0.078    0.003 __init__.py:1414(get_metadata)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       25    0.000    0.000    0.080    0.003 __init__.py:1427(get_metadata_lines)
        2    0.000    0.000    0.000    0.000 __init__.py:1436(info)
        6    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
       93    0.000    0.000    0.002    0.000 __init__.py:1483(_fn)
       93    0.000    0.000    0.001    0.000 __init__.py:1489(_validate_resource_path)
        1    0.000    0.000    0.001    0.001 __init__.py:154(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1586(EggProvider)
       24    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1606(DefaultProvider)
       68    0.000    0.000    0.003    0.000 __init__.py:1609(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
       25    0.000    0.000    0.077    0.003 __init__.py:1621(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1636(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1649(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1656(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1683(MemoizedZipManifests)
        2    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_deprecation_notice)
        1    0.000    0.000    0.000    0.000 __init__.py:170(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:1703(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(__enter__)
       22    0.000    0.000    0.001    0.000 __init__.py:172(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:173(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:177(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:179(insert_shim)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:183(remove_shim)
        1    0.000    0.000    0.000    0.000 __init__.py:184(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(sic)
        1    0.000    0.000    0.000    0.000 __init__.py:1879(FileMetadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1891(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1897(has_metadata)
        2    0.000    0.000    0.005    0.002 __init__.py:1900(get_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1909(_warn_on_replacement)
        2    0.000    0.000    0.005    0.002 __init__.py:1916(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1920(PathMetadata)
       11    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
       88    0.000    0.000    0.000    0.000 __init__.py:1940(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1945(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        4    0.000    0.000    0.000    0.000 __init__.py:1963(register_finder)
       14    0.000    0.000    0.000    0.000 __init__.py:1973(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:198(set_testing_mode)
        4    0.000    0.000    0.048    0.012 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:2010(find_nothing)
       12    0.000    0.000    0.017    0.001 __init__.py:2017(_by_version_descending)
      480    0.001    0.000    0.006    0.000 __init__.py:2032(try_parse)
        8    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
       90    0.000    0.000    0.007    0.000 __init__.py:2041(_by_version)
       90    0.000    0.000    0.007    0.000 __init__.py:2047(<listcomp>)
      102    0.000    0.000    0.367    0.004 __init__.py:2052(find_on_path)
        1    0.000    0.000    0.000    0.000 __init__.py:206(NumbaUtilError)
      906    0.000    0.000    0.004    0.000 __init__.py:2064(<genexpr>)
      102    0.001    0.000    0.009    0.000 __init__.py:2072(<genexpr>)
      984    0.001    0.000    0.007    0.000 __init__.py:2087(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:2107(NoDists)
      804    0.000    0.000    0.000    0.000 __init__.py:2115(__bool__)
        1    0.000    0.000    0.000    0.000 __init__.py:212(DuplicateLabelError)
       12    0.000    0.000    0.001    0.000 __init__.py:2122(safe_listdir)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
      180    0.001    0.000    0.343    0.002 __init__.py:2138(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
       10    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:2187(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:22(NullFrequencyError)
       41    0.000    0.000    0.010    0.000 __init__.py:2205(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
       10    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.001    0.001 __init__.py:2276(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        2    0.000    0.000    0.000    0.000 __init__.py:229(Splitter)
       45    0.000    0.000    0.009    0.000 __init__.py:2310(fixup_namespace_packages)
