filename,cell_count_low,cost_usd_low
inunriver_rcp8p5_0000HadGEM2-ES_2080_rp00250.csv,209325,1577264400
inunriver_rcp8p5_0000HadGEM2-ES_2080_rp00500.csv,211558,1649328000
inunriver_rcp8p5_0000HadGEM2-ES_2080_rp01000.csv,213158,1761626000
inunriver_rcp8p5_00IPSL-CM5A-LR_2030_rp00100.csv,202870,1350949600
inunriver_rcp8p5_00IPSL-CM5A-LR_2030_rp00250.csv,204422,1503589200
inunriver_rcp8p5_00IPSL-CM5A-LR_2030_rp00500.csv,207470,1552022000
inunriver_rcp8p5_00IPSL-CM5A-LR_2030_rp01000.csv,208382,1573844800
inunriver_rcp8p5_00IPSL-CM5A-LR_2050_rp00100.csv,203485,1456973200
inunriver_rcp8p5_00IPSL-CM5A-LR_2050_rp00250.csv,206567,1497553600
inunriver_rcp8p5_00IPSL-CM5A-LR_2050_rp00500.csv,208257,1560720000
inunriver_rcp8p5_00IPSL-CM5A-LR_2050_rp01000.csv,210182,1606299600
inunriver_rcp8p5_00IPSL-CM5A-LR_2080_rp00100.csv,205802,1489509200
inunriver_rcp8p5_00IPSL-CM5A-LR_2080_rp00250.csv,209061,1555981200
inunriver_rcp8p5_00IPSL-CM5A-LR_2080_rp00500.csv,210327,1630417600
inunriver_rcp8p5_00IPSL-CM5A-LR_2080_rp01000.csv,211698,1663083200
inunriver_rcp8p5_MIROC-ESM-CHEM_2030_rp00100.csv,202043,1321946800
inunriver_rcp8p5_MIROC-ESM-CHEM_2030_rp00250.csv,204168,1447720800
inunriver_rcp8p5_MIROC-ESM-CHEM_2030_rp00500.csv,206197,1476177600
inunriver_rcp8p5_MIROC-ESM-CHEM_2030_rp01000.csv,207854,1582426400
inunriver_rcp8p5_MIROC-ESM-CHEM_2050_rp00100.csv,202930,1357101600
inunriver_rcp8p5_MIROC-ESM-CHEM_2050_rp00250.csv,205137,1467195600
inunriver_rcp8p5_MIROC-ESM-CHEM_2050_rp00500.csv,207364,1553278000
inunriver_rcp8p5_MIROC-ESM-CHEM_2050_rp01000.csv,209185,1606974400
inunriver_rcp8p5_MIROC-ESM-CHEM_2080_rp00100.csv,203980,1430047600
