,gid_id,mean_cell_count_baseline,cost_usd_baseline
5043,USA.17.56_1,15.0,305005.0
5044,USA.17.57_1,5.0,108335.0
5045,USA.17.5_1,17.0,270838.0
5046,USA.17.61_1,1.5,25833.5
5047,USA.17.63_1,8.5,158335.5
5048,USA.17.67_1,6.0,143335.0
5049,USA.17.68_1,5.0,83335.0
5050,USA.17.69_1,2.0,16666.0
5051,USA.17.6_1,1.0,19167.0
5052,USA.17.70_1,4.0,106668.0
5053,USA.17.71_1,1.0,30000.0
5054,USA.17.72_1,3.0,83334.0
5055,USA.17.73_1,7.0,108335.0
5056,USA.17.74_1,1.0,16667.0
5057,USA.17.75_1,26.0,814160.0
5058,USA.17.78_1,19.5,275002.5
5059,USA.17.79_1,2.0,60000.0
5060,USA.17.80_1,5.0,86668.0
5061,USA.17.81_1,49.0,1476653.0
5062,USA.17.83_1,2.0,33334.0
5063,USA.17.84_1,1.0,33333.0
5064,USA.17.85_1,38.5,1044995.5
5065,USA.17.87_1,214.5,3495878.5
5066,USA.17.89_1,52.5,1455827.5
5067,USA.17.8_1,4.0,101668.0
5068,USA.17.92_1,1.0,8333.0
5069,USA.17.96_1,11.0,195837.0
5070,USA.17.99_1,9.5,191668.5
5071,USA.17.9_1,3.0,65001.0
5072,USA.18.100_1,27.0,848327.0
5073,USA.18.102_1,11.0,183337.0
5074,USA.18.104_1,1.0,33333.0
5075,USA.18.108_1,3.0,82500.0
5076,USA.18.10_1,13.0,354166.0
5077,USA.18.112_1,4.0,133332.0
5078,USA.18.113_1,7.5,178333.5
5079,USA.18.114_1,7.0,190833.0
5080,USA.18.115_1,3.0,50001.0
5081,USA.18.116_1,9.0,265831.0
5082,USA.18.117_1,16.5,280838.5
5083,USA.18.118_1,26.0,833327.0
5084,USA.18.120_1,2.0,53334.0
5085,USA.18.13_1,5.0,166665.0
5086,USA.18.15_1,24.5,540001.5
5087,USA.18.16_1,4.0,105834.0
5088,USA.18.17_1,9.0,150003.0
5089,USA.18.19_1,64.5,1634168.5
5090,USA.18.21_1,6.0,185832.0
5091,USA.18.22_1,10.0,315831.0
5092,USA.18.23_1,2.0,66666.0
5093,USA.18.28_1,2.5,54166.5
5094,USA.18.29_1,3.0,90833.0
5095,USA.18.2_1,1.0,21667.0
5096,USA.18.30_1,25.0,523335.0
5097,USA.18.31_1,2.0,66666.0
5098,USA.18.32_1,2.0,48334.0
5099,USA.18.33_1,3.0,80001.0
5100,USA.18.34_1,1.0,26667.0
5101,USA.18.35_1,2.0,50000.0
5102,USA.18.36_1,17.0,410839.0
5103,USA.18.37_1,21.0,560007.0
5104,USA.18.39_1,2.0,66666.0
