country,iso3,income_group,region
China,CHN,UMC,East Asia & Pacific
Colombia,COL,UMC,Latin America & Caribbean
Costa Rica,CRI,UMC,Latin America & Caribbean
Cuba,CUB,UMC,Latin America & Caribbean
Dominica,DMA,UMC,Latin America & Caribbean
Dominican Republic,DOM,UMC,Latin America & Caribbean
Ecuador,ECU,UMC,Latin America & Caribbean
Fiji,FJI,UMC,East Asia & Pacific
Gabon,GAB,UMC,Sub-Saharan Africa
Georgia,GEO,UMC,Europe & Central Asia
Equatorial Guinea,GNQ,UMC,Sub-Saharan Africa
Grenada,GRD,UMC,Latin America & Caribbean
Guatemala,GTM,UMC,Latin America & Caribbean
Guyana,GUY,UMC,Latin America & Caribbean
Indonesia,IDN,UMC,East Asia & Pacific
"Iran, Islamic Rep.",IRN,UMC,Middle East & North Africa
Iraq,IRQ,UMC,Middle East & North Africa
Jamaica,JAM,UMC,Latin America & Caribbean
Jordan,JOR,UMC,Middle East & North Africa
Kazakhstan,KAZ,UMC,Europe & Central Asia
Lebanon,LBN,UMC,Middle East & North Africa
Libya,LBY,UMC,Middle East & North Africa
St. Lucia,LCA,UMC,Latin America & Caribbean
Maldives,MDV,UMC,South Asia
Mexico,MEX,UMC,Latin America & Caribbean
Marshall Islands,MHL,UMC,East Asia & Pacific
North Macedonia,MKD,UMC,Europe & Central Asia
Montenegro,MNE,UMC,Europe & Central Asia
Malaysia,MYS,UMC,East Asia & Pacific
Namibia,NAM,UMC,Sub-Saharan Africa
Peru,PER,UMC,Latin America & Caribbean
Paraguay,PRY,UMC,Latin America & Caribbean
Russian Federation,RUS,UMC,Europe & Central Asia
Serbia,SRB,UMC,Europe & Central Asia
Suriname,SUR,UMC,Latin America & Caribbean
Thailand,THA,UMC,East Asia & Pacific
Turkmenistan,TKM,UMC,Europe & Central Asia
Tonga,TON,UMC,East Asia & Pacific
Turkey,TUR,UMC,Europe & Central Asia
Tuvalu,TUV,UMC,East Asia & Pacific
St. Vincent and the Grenadines,VCT,UMC,Latin America & Caribbean
"Venezuela, RB",VEN,UMC,Latin America & Caribbean
Samoa,WSM,UMC,East Asia & Pacific
Kosovo,XKX,UMC,Europe & Central Asia
South Africa,ZAF,UMC,Sub-Saharan Africa
