iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
ALB,inuncoast,rcp8p5,wtsub,2080,rp1000,0,0.0,1.757829252859378,7.161951,0.001,Europe
ARE,inuncoast,historical,wtsub,hist,rp0100,0,0.0,0.8935789424674515,5.2590137,0,Asia
ARE,inuncoast,historical,wtsub,hist,rp0250,0,0.0,0.9160801114973744,5.296355,0,Asia
ARE,inuncoast,historical,wtsub,hist,rp0500,0,0.01,0.9206787277065892,5.3245506,0.001,Asia
ARE,inuncoast,historical,wtsub,hist,rp1000,0,0.0,0.8589968041287795,5.3527255,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2030,rp0100,0,0.0,0.8772295604207031,5.4358134,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2030,rp0250,0,0.0,0.8901999518247973,5.473155,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2030,rp0500,0,0.0,0.8862206038065897,5.5013504,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2030,rp1000,0,0.0,0.8937222360136745,5.5295258,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2050,rp0100,0,0.0,0.9318831599683284,5.5709133,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2050,rp0250,0,0.0,0.9532203212101572,5.6082544,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2050,rp0500,0,0.0,0.9646501776681036,5.636451,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2050,rp1000,0,0.0,0.9756916942001608,5.664625,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2080,rp0100,0,0.0,1.1221610960179216,5.829213,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2080,rp0250,0,0.01,1.1315467964347905,5.8665547,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2080,rp0500,0,0.0,1.1334051724722218,5.8947506,0.001,Asia
ARE,inuncoast,rcp4p5,wtsub,2080,rp1000,0,0.0,1.1444109924633892,5.9229255,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2030,rp0100,0,0.0,0.878164035746793,5.4484134,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2030,rp0250,0,0.01,0.8941783081197568,5.485755,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2030,rp0500,0,0.0,0.8949022771107951,5.5139503,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2030,rp1000,0,0.0,0.9019431542934738,5.5421257,0.001,Asia
ARE,inuncoast,rcp8p5,wtsub,2050,rp0100,0,0.0,0.95515362708418,5.6103134,0.001,Asia
